   2.91383453E-02   3.24338339E-02         500         500          20   7.91915730E-02  0.300000012    
   2.46396195E-03   2.73950491E-03         500         500         640   2.75470153E-03  0.300000012    
   2.69131344E-02   2.97779143E-02         800         800          20  0.124323472      0.200000003    
   2.31923629E-03   2.58498942E-03         800         800         640   4.55192197E-03  0.200000003    
   3.36439870E-02   3.59929241E-02          10          10          20  0.140642270      0.200000003    
   3.33172642E-03   3.67921079E-03          10          10         640   5.23226988E-03  0.200000003    
   3.04495096E-02   3.26421298E-02          30          30          20  0.129299238      0.200000003    
   2.80248607E-03   3.15491483E-03          30          30         640   4.76192264E-03  0.200000003    
   2.91366968E-02   3.14608179E-02          50          50          20  0.127265036      0.200000003    
   2.65659136E-03   3.00129829E-03          50          50         640   4.68139583E-03  0.200000003    
   2.85109263E-02   3.09414752E-02          70          70          20  0.126366332      0.200000003    
   2.58116936E-03   2.91060004E-03          70          70         640   4.63736197E-03  0.200000003    
   2.14243717E-02   2.35506836E-02        1500        1500          20  0.238088578      0.100000001    
